id,tanggal,dod,crate,ramprate,maxbss
1,01/07/2023,34.54,0.2,20,516
2,02/07/2023,38.47,0.2,20,468
3,03/07/2023,38.08,0.2,20,418
4,04/07/2023,26.44,0.2,20,600
5,05/07/2023,35.72,0.2,20,600
6,06/07/2023,37.47,0.2,20,600
7,07/07/2023,30.02,0.2,20,511
8,08/07/2023,25.77,0.2,20,600
9,09/07/2023,29.85,0.2,20,439
10,10/07/2023,22.41,0.2,20,424
11,11/07/2023,22.15,0.2,20,600
12,12/07/2023,39.48,0.2,20,600
14,13/07/2023,36.9,0.2,20,477
15,14/07/2023,22.39,0.2,20,424
16,15/07/2023,21.03,0.2,20,600
17,16/07/2023,23,0.2,20,591
18,17/07/2023,38.33,0.2,20,392
19,18/07/2023,34.33,0.2,20,368
20,19/07/2023,35.66,0.2,20,549
21,20/07/2023,23.87,0.2,20,600
22,21/07/2023,27.07,0.2,20,600
23,22/07/2023,27.85,0.2,20,600
26,23/07/2023,34.65,0.2,20,333
27,24/07/2023,32.68,0.2,20,600
28,25/07/2023,37.42,0.2,20,600
29,26/07/2023,38.53,0.2,20,592
30,27/07/2023,27.36,0.2,20,600
32,28/07/2023,28.41,0.2,20,600
33,29/07/2023,26.99,0.2,20,600
34,30/07/2023,32.92,0.2,20,600
35,31/07/2023,39.37,0.2,20,600
36,01/08/2023,24.01,0.2,20,600
37,02/08/2023,31.37,0.2,20,600
38,03/08/2023,21.85,0.2,20,600
39,04/08/2023,25.39,0.2,20,600
40,05/08/2023,28.15,0.2,20,600
41,06/08/2023,36.76,0.2,20,600
42,07/08/2023,32.44,0.2,20,600
43,08/08/2023,22.18,0.2,20,551
44,09/08/2023,28.96,0.2,20,600
45,10/08/2023,38.73,0.2,20,543
46,11/08/2023,33.06,0.2,20,219
47,12/08/2023,37.07,0.2,20,504
48,13/08/2023,20.38,0.2,20,600
49,14/08/2023,35.33,0.2,20,562
50,15/08/2023,39.77,0.2,20,600
51,16/08/2023,22,0.2,20,600
52,17/08/2023,31.91,0.2,20,551
53,18/08/2023,21.12,0.2,20,265
54,19/08/2023,37.23,0.2,20,600
55,20/08/2023,32.42,0.2,20,600
56,21/08/2023,23.63,0.2,20,600
57,22/08/2023,38.72,0.2,20,569
58,23/08/2023,28.05,0.2,20,546
59,24/08/2023,27.97,0.2,20,600
60,25/08/2023,32.19,0.2,20,600
61,26/08/2023,30.74,0.2,20,600
62,27/08/2023,24.94,0.2,20,277
63,28/08/2023,25.77,0.2,20,387
64,29/08/2023,22.11,0.2,20,600
65,30/08/2023,35.14,0.2,20,600
66,31/08/2023,31.05,0.2,20,600
67,01/09/2023,27.8,0.2,20,600
68,02/09/2023,22.31,0.2,20,600
69,03/09/2023,38.63,0.2,20,600
70,04/09/2023,31.63,0.2,20,600
71,05/09/2023,20.84,0.2,20,600
72,06/09/2023,32.85,0.2,20,600
73,07/09/2023,32.21,0.2,20,600
74,08/09/2023,37.66,0.2,20,600
75,09/09/2023,31.14,0.2,20,600
76,10/09/2023,23.38,0.2,20,600
77,11/09/2023,22.98,0.2,20,600
79,12/09/2023,25.47,0.2,20,600
80,13/09/2023,35.37,0.2,20,600
81,14/09/2023,29.79,0.2,20,254
82,15/09/2023,34.7,0.2,20,477
83,16/09/2023,30.51,0.2,20,600
84,17/09/2023,30.15,0.2,20,600
85,18/09/2023,22.57,0.2,20,281
86,19/09/2023,36.69,0.2,20,475
88,20/09/2023,36.92,0.2,20,600
89,21/09/2023,26.89,0.2,20,600
90,22/09/2023,27.09,0.2,20,600
91,23/09/2023,32.63,0.2,20,600
92,24/09/2023,38.21,0.2,20,600
93,25/09/2023,23.21,0.2,20,600
94,26/09/2023,34.27,0.2,20,600
95,27/09/2023,26.47,0.2,20,600
96,28/09/2023,27.8,0.2,20,600
97,29/09/2023,20.3,0.2,20,600
98,30/09/2023,30.86,0.2,20,600
99,01/10/2023,39.67,0.2,20,600
100,02/10/2023,34.45,0.2,20,600
101,03/10/2023,24.36,0.2,20,600
102,04/10/2023,25.35,0.2,20,600
103,05/10/2023,26.9,0.2,20,600
104,06/10/2023,28.11,0.2,20,600
107,07/10/2023,37.43,0.2,20,600
108,08/10/2023,22.1,0.2,20,600
109,09/10/2023,31.65,0.2,20,600
110,10/10/2023,25.05,0.2,20,298
111,11/10/2023,26.58,0.2,20,600
112,12/10/2023,25.05,0.2,20,600
113,13/10/2023,24.59,0.2,20,600
114,14/10/2023,20.34,0.2,20,600
115,15/10/2023,22.83,0.2,20,600
116,16/10/2023,28.72,0.2,20,600
117,17/10/2023,30.9,0.2,20,600
118,18/10/2023,24.77,0.2,20,600
119,19/10/2023,35.31,0.2,20,487
120,20/10/2023,37.62,0.2,20,600
121,21/10/2023,21.85,0.2,20,600
122,22/10/2023,38.55,0.2,20,600
123,23/10/2023,25.1,0.2,20,553
124,24/10/2023,23.19,0.2,20,600
125,25/10/2023,36.95,0.2,20,600
126,26/10/2023,27.28,0.2,20,600
127,27/10/2023,32.27,0.2,20,600
128,28/10/2023,22.67,0.2,20,600
130,29/10/2023,28.89,0.2,20,600
131,30/10/2023,23.13,0.2,20,569
132,31/10/2023,21.69,0.2,20,600
133,01/11/2023,28.38,0.2,20,600
134,02/11/2023,35.46,0.2,20,600
135,03/11/2023,21.49,0.2,20,600
136,04/11/2023,37.5,0.2,20,600
137,05/11/2023,29.31,0.2,20,600
138,06/11/2023,30.1,0.2,20,600
139,07/11/2023,36.13,0.2,20,567
140,08/11/2023,25.23,0.2,20,600
141,09/11/2023,20.42,0.2,20,600
142,10/11/2023,23.39,0.2,20,600
143,11/11/2023,35.47,0.2,20,551
144,12/11/2023,28.94,0.2,20,153
147,13/11/2023,22.67,0.2,20,600
148,14/11/2023,32.49,0.2,20,600
149,15/11/2023,32.86,0.2,20,489
150,16/11/2023,25.2,0.2,20,600
151,17/11/2023,35.18,0.2,20,559
152,18/11/2023,39.16,0.2,20,600
153,19/11/2023,22.11,0.2,20,451
154,20/11/2023,39.87,0.2,20,600
155,21/11/2023,36.53,0.2,20,600
156,22/11/2023,30.35,0.2,20,600
157,23/11/2023,25.47,0.2,20,600
158,24/11/2023,32.09,0.2,20,600
159,25/11/2023,26.95,0.2,20,525
160,26/11/2023,34.34,0.2,20,600
161,27/11/2023,21.58,0.2,20,537
162,28/11/2023,21.95,0.2,20,600
163,29/11/2023,31.33,0.2,20,600
164,30/11/2023,24.93,0.2,20,600
165,01/12/2023,33.27,0.2,20,600
166,02/12/2023,26.78,0.2,20,600
167,03/12/2023,37.12,0.2,20,600
168,04/12/2023,29.42,0.2,20,467
169,05/12/2023,23.55,0.2,20,600
170,06/12/2023,29.47,0.2,20,600
171,07/12/2023,32.78,0.2,20,600
172,08/12/2023,35.8,0.2,20,600
173,09/12/2023,35.91,0.2,20,600
174,10/12/2023,30.86,0.2,20,600
175,11/12/2023,35.59,0.2,20,600
176,12/12/2023,30.7,0.2,20,467
177,13/12/2023,34.87,0.2,20,600
178,14/12/2023,33.12,0.2,20,600
179,15/12/2023,23.87,0.2,20,222
180,16/12/2023,30.83,0.2,20,600
181,17/12/2023,30.52,0.2,20,600
182,18/12/2023,35.72,0.2,20,600
187,19/12/2023,30.19,0.2,20,600
188,20/12/2023,35.46,0.2,20,600
189,21/12/2023,32.29,0.2,20,600
190,22/12/2023,22.49,0.2,20,589
191,23/12/2023,20.57,0.2,20,600
192,24/12/2023,27.03,0.2,20,321
195,25/12/2023,21.19,0.2,20,600
196,26/12/2023,21.14,0.2,20,600
197,27/12/2023,20.33,0.2,20,600
198,28/12/2023,33.53,0.2,20,594
199,29/12/2023,23.41,0.2,20,600
200,30/12/2023,29.38,0.2,20,503
201,31/12/2023,32.71,0.2,20,600
202,01/01/2024,29.9,0.2,20,600
203,02/01/2024,32.29,0.2,20,547
204,03/01/2024,28.87,0.2,20,574
205,04/01/2024,26.42,0.2,20,600
206,05/01/2024,21.85,0.2,20,600
207,06/01/2024,22.57,0.2,20,600
208,07/01/2024,33.05,0.2,20,262
209,08/01/2024,32.9,0.2,20,600
211,09/01/2024,30.31,0.2,20,600
212,10/01/2024,38.07,0.2,20,600
213,11/01/2024,27.56,0.2,20,600
